"","ID","Overall.Rating","Program.Expenses","Administrative.Expenses","Fundraising.Expenses","Fundraising.Efficiency","Working.Capital.Ratio..years.","Program.Expenses.Growth","Liabilities.to.Assets","Independent.Voting.Board.Members","No.Material.diversion.of.assets","Audited.financials.prepared.by.independent.accountant","Does.Not.Provide.Loan.s..to.or.Receive.Loan.s..From.related.parties","Documents.Board.Meeting.Minutes","Provided.copy.of.Form.990.to.organization.s.governing.body.in.advance.of.filing","Conflict.of.Interest.Policy","Whistleblower.Policy","Records.Retention.and.Destruction.Policy","CEO.listed.with.salary","Process.for.determining.CEO.compensation","Board.Listed...Board.Members.Not.Compensated","Donor.Privacy.Policy","Board.Members.Listed","Audited.Financials","Form.990","Key.staff.listed","reg_prediction","reg_error"
"1745",1938,91.73,0.799,0.103,0.096,0.08,1.64,0.127,0.152,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,88.3345641214703,3.39543587852974
"1746",1939,89.11,0.851,0.095,0.053,0.06,0.88,0.021,0.258,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,91.8092254380888,-2.69922543808882
"1747",1940,81.83,0.645,0.159,0.195,0.19,0.42,0.094,0.042,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,78.8887149884012,2.94128501159884
"1748",1941,95.47,0.915,0.042,0.042,0.04,0.81,0.158,0.136,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,95.9162737665359,-0.446273766535896
"1749",1942,91.38,0.774,0.119,0.105,0.1,0.89,0.316,0.094,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,94.1658152343475,-2.78581523434747
"1750",1943,96.15,0.809,0.101,0.089,0.08,1.52,0.218,0.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,93.2935392037644,2.85646079623558
"1751",1944,85.81,0.899,0.038,0.061,0.08,6.98,0.017,0.215,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,89.1455825702722,-3.33558257027217
"1752",1945,91.7,0.922,0.027,0.049,0.04,0.21,0.065,0.099,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,94.5376166145896,-2.83761661458959
"1753",1947,77.42,0.912,0.037,0.049,0.05,0.11,0.007,0.085,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,82.2074919077685,-4.78749190776848
"1754",1948,84.28,0.764,0.167,0.068,0.23,5.59,0.002,0.275,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,82.9816508947387,1.29834910526129
"1755",1949,89.31,0.891,0.091,0.016,0.04,1.29,0.081,0.025,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,91.4637332292045,-2.15373322920455
"1756",1950,90.99,0.735,0.167,0.097,0.08,1,0.031,0.023,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89.9961575035594,0.99384249644055
"1757",1951,91.93,0.791,0.109,0.098,0.08,1.65,0.067,0.035,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,88.3689115722455,3.5610884277545
"1758",1952,85.38,0.886,0.091,0.021,0.02,0.47,-0.12,0.073,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,89.6044282584742,-4.22442825847419
"1759",1953,94.48,0.868,0.073,0.058,0.05,1.39,0.033,0.015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,93.9807270434028,0.499272956597252
"1760",1954,83.18,0.817,0.131,0.05,0.09,0.26,-0.061,0.155,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,84.7737109368366,-1.59371093683663
"1761",1955,95.06,0.791,0.064,0.144,0.18,1.77,0.059,0.367,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,87.2247285292054,7.83527147079457
"1762",1956,90.71,0.774,0.171,0.053,0.11,2.91,0.091,0.025,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,88.8791928668011,1.83080713319886
"1763",1957,85.5,0.762,0.179,0.058,0.11,0.3,0.075,0.586,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,85.9877193476811,-0.487719347681121
"1764",1958,82.6,0.81,0.15,0.038,0.06,0.06,0.022,0.345,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,84.2931954385123,-1.69319543851229
"1765",1959,87.29,0.816,0.084,0.099,0.12,0.65,0.035,0.211,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,88.4936850777737,-1.20368507777367
"1766",1960,90.18,0.802,0.072,0.125,0.14,0.68,0.128,0.363,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,88.9943068684337,1.18569313156635
"1767",1961,76.66,0.802,0.142,0.054,0.43,0.42,0.043,0.248,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,74.1100077000158,2.54999229998421
"1768",1962,78.98,0.644,0.181,0.173,0.13,1.13,0.04,0.056,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,79.303910892909,-0.323910892909026
"1769",1963,78.7,0.668,0.166,0.165,0.19,1.5,0.24,0.011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,75.0981836820924,3.60181631790763
"1770",1964,85.2,0.752,0.197,0.049,0.04,3.3,-0.051,0.082,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,85.2375786312101,-0.0375786312100814
"1771",1966,87.61,0.721,0.154,0.124,0.11,2.13,0.037,0.027,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89.1957989447922,-1.5857989447922
"1772",1967,86.64,0.682,0.215,0.101,0.16,3.99,0.046,0.005,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,84.7529056846507,1.88709431534934
"1773",1968,91.73,0.782,0.123,0.093,0.06,3.95,0.19,0.124,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,89.7260226583991,2.00397734160087
"1774",1969,86.14,0.862,0.088,0.048,0.04,1.65,0.032,0.062,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,86.110370732569,0.0296292674310052
"1775",1970,91.58,0.853,0.124,0.022,0.05,2.61,0.037,0.102,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,91.7890838664319,-0.209083866431897
"1776",1971,94.56,0.876,0.051,0.071,0.04,7.37,0.038,0.059,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,93.4221576414154,1.13784235858456
"1777",1972,74.85,0.751,0.066,0.181,0.22,0.13,-0.049,0.31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,82.7651281776927,-7.91512817769275
"1778",1974,82.69,0.719,0.213,0.066,0.08,0.26,-0.001,0.07,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,85.0387191194185,-2.3487191194185
"1779",1975,66.54,0.732,0.17,0.096,0.09,1.08,-0.007,0.007,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,68.2759952181935,-1.73599521819354
"1780",1976,86,0.751,0.203,0.044,0.06,2.66,-0.013,0.091,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,86.6404010949138,-0.640401094913841
"1781",1978,70.1,0.646,0.07,0.282,0.26,0.59,-0.109,0.027,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,68.6324559997971,1.46754400020291
"1782",1979,93.69,0.876,0.055,0.068,0.08,1.58,0.066,0.061,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,92.1944864494133,1.49551355058665
"1783",1980,85.43,0.812,0.12,0.067,0.07,0.36,0.007,0.253,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,86.6256348813855,-1.19563488138546
"1784",1981,29.11,0.08,0.034,0.884,0.85,0.03,-0.433,0.71,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,35.5900485387348,-6.48004853873483
"1785",1982,87.33,0.798,0.067,0.133,0.11,2.1,-0.022,0.036,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,87.6653781344811,-0.335378134481061
"1786",1983,93.17,0.775,0.063,0.16,0.13,1.67,0.08,0.04,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90.5088682562926,2.66113174370739
"1787",1984,95.07,0.853,0.079,0.066,0.06,0.59,0.058,0.067,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,92.9922040788387,2.0777959211613
"1788",1985,85.93,0.89,0.075,0.034,0.04,0.71,0.092,0.136,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,91.776506603926,-5.84650660392595
"1789",1986,94.76,0.83,0.106,0.063,0.06,1.38,0.047,0.145,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,92.6251742273551,2.13482577264494
"1790",1987,93.91,0.831,0.079,0.089,0.12,0.69,0.154,0.143,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,90.2907814409035,3.61921855909648
"1791",1988,91.24,0.79,0.073,0.136,0.15,0.57,0.221,0.071,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,90.8414771739499,0.398522826050069
"1792",1989,92.27,0.818,0.064,0.117,0.17,5.42,0.178,0.488,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89.7830390310783,2.48696096892165
"1793",1990,93.02,0.8,0.141,0.058,0.08,1.06,0.031,0.105,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,91.6892893029319,1.33071069706814
"1794",1991,91.42,0.899,0.074,0.026,0.02,1.17,0.029,0.022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,92.6829325500216,-1.26293255002163
"1795",1992,88.36,0.772,0.12,0.106,0.09,0.27,0.095,0.163,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,86.4324742461182,1.92752575388182
"1796",1993,79.49,0.801,0.169,0.029,0.03,0.32,-0.221,0.046,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,80.4055259274545,-0.915525927454553
"1797",1994,83.88,0.717,0.195,0.086,0.08,1.09,0.006,0.178,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,81.2803759840063,2.5996240159937
"1798",1996,90.78,0.844,0.058,0.097,0.11,1.31,-0.037,0.048,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,90.7355962611738,0.044403738826162
"1799",1997,92.07,0.825,0.111,0.062,0.06,0.7,0.053,0.068,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,91.4855873780001,0.584412621999931
"1800",1998,91.75,0.818,0.061,0.12,0.11,0.59,0.093,0.092,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,91.9876310879365,-0.237631087936492
"1801",1999,85.85,0.859,0.075,0.065,0.08,0.26,-0.233,0.345,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,87.1103960489984,-1.26039604899839
"1802",2000,91.61,0.857,0.088,0.054,0.05,0.23,0.081,0.082,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,94.5103590723591,-2.90035907235909
"1803",2001,82.87,0.885,0.084,0.029,0.03,0.07,0.011,0.681,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,87.9596794715778,-5.08967947157778
"1804",2002,91.3,0.833,0.125,0.04,0.04,0.54,0.189,0.054,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,92.1204127038135,-0.82041270381346
"1805",2003,82.02,0.759,0.165,0.075,0.08,0.28,-0.182,0.299,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,84.1116060825692,-2.09160608256921
"1806",2004,87.37,0.879,0.065,0.055,0.05,0.31,0.034,0.089,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,90.6152712267044,-3.24527122670439
"1807",2005,85.38,0.912,0.032,0.055,0.09,0.39,-0.055,0.185,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,89.0246352017075,-3.64463520170754
"1808",2006,84.87,0.829,0.111,0.058,0.08,0.07,0.021,0.396,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,88.318359396596,-3.44835939659603
"1809",2007,87.96,0.894,0.059,0.046,0.05,0.41,0.029,0.049,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,90.9818614173572,-3.02186141735716
"1810",2008,86.84,0.946,0.03,0.023,0.02,0.32,-0.05,0.038,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,90.5994062766318,-3.75940627663175
"1811",2009,91.38,0.774,0.132,0.092,0.1,1.26,0.162,0.517,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,88.0974153858713,3.28258461412871
"1812",2010,86.85,0.739,0.164,0.095,0.15,2.31,0.052,0.027,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,84.5092380102466,2.34076198975339
"1813",2011,78.13,0.868,0.106,0.024,0.02,1.17,0.131,0.409,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,80.8611643286844,-2.73116432868436
"1814",2012,91.21,0.935,0.028,0.035,0.03,1.37,0.032,0.074,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,93.1172575017749,-1.90725750177495
"1815",2013,77.7,0.825,0.062,0.112,0.21,9.33,0.055,0.068,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,80.4935726185401,-2.79357261854005
"1816",2014,91.86,0.83,0.138,0.031,0.02,1.28,0.087,0.284,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,88.8148133499271,3.04518665007295
"1817",2015,90.68,0.865,0.078,0.055,0.06,0.47,0.078,0.042,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,91.2116656200523,-0.531665620052337
"1818",2016,66.33,0.821,0.105,0.072,0.07,0.07,-0.173,0.454,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62.3001114504844,4.02988854951561
"1819",2017,92.46,0.847,0.099,0.052,0.09,1.97,0.002,0.019,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,92.0157044948301,0.444295505169848
"1820",2018,87.24,0.773,0.109,0.117,0.21,2.46,-0.003,0.013,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89.4962003249286,-2.25620032492856
"1821",2019,88.28,0.793,0.15,0.055,0.06,0.71,0.067,0.114,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,88.2381817710997,0.0418182289003255
"1822",2020,96.27,0.966,0.011,0.022,0.02,0.49,0.037,0.021,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,98.5542515109532,-2.28425151095315
"1823",2021,96.46,0.962,0.013,0.024,0.02,0.25,0.235,0.154,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,99.8483678238357,-3.38836782383567
"1824",2022,96.74,0.95,0.023,0.026,0.02,0.46,0.057,0.024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,97.231806399747,-0.491806399746963
"1825",2023,93.22,0.952,0.028,0.019,0.02,0.25,0.028,0.093,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,96.2555956338631,-3.0355956338631
"1826",2026,81.69,0.874,0.073,0.051,0.05,13.06,-0.012,0.125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,90.6105413554901,-8.92054135549012
"1827",2028,92.47,0.887,0.049,0.063,0.04,7.3,0.059,0.003,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,96.3387772465092,-3.86877724650921
"1828",2032,88.09,0.805,0.123,0.07,0.07,11.04,0.232,0.065,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,92.7142124583547,-4.62421245835469
"1829",2034,89.83,0.868,0.107,0.023,0.02,5.85,0.018,0.022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,93.4256244820152,-3.59562448201524
"1830",2036,93.36,0.952,0.02,0.026,0.03,7.28,0.04,0.019,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,98.466420398086,-5.10642039808604
"1831",2038,91.34,0.826,0.135,0.038,0.03,7.66,0.222,0.124,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,97.1742014919038,-5.83420149190381
"1832",2039,87.11,0.857,0.103,0.038,0.02,12.74,0.008,0.167,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,95.851944964648,-8.741944964648
"1833",2040,89.5,0.925,0.049,0.024,0.02,3.66,-0.019,0.002,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,93.4377044506409,-3.93770445064091
"1834",2041,86.5,0.866,0.079,0.054,0.05,11.96,0.015,0.082,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,93.3251531846041,-6.82515318460413
"1835",2042,90.07,0.913,0.056,0.03,0.02,5.07,0.042,0.236,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,94.7649159167097,-4.69491591670966
"1836",2044,91.2,0.9,0.06,0.038,0.04,4,0.037,0.005,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,96.0303829590084,-4.83038295900845
"1837",2046,79.62,0.898,0.068,0.032,0.03,0.29,-0.199,0.631,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,78.2130437843333,1.4069562156667
"1838",2047,82.09,0.915,0.063,0.021,0.02,0.08,-0.137,0.64,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,87.3832668594822,-5.2932668594822
"1839",2048,88.83,0.804,0.12,0.074,0.07,2.39,-0.186,0.004,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,86.0749082383091,2.75509176169093
"1840",2049,91.17,0.819,0.074,0.105,0.11,1.33,0.147,0.095,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,89.2877798992293,1.88222010077065
